⌚	watch	clock|time|watch
⌛	hourglass done	done|hourglass|sand|time|timer
⏩	fast-forward button	arrow|button|double|fast|fast-forward|forward
⏪	fast reverse button	arrow|button|double|fast|reverse|rewind
⏫	fast up button	arrow|button|double|fast|up
⏬	fast down button	arrow|button|double|down|fast
⏰	alarm clock	alarm|clock|hours|hrs|late|time|waiting
⏳	hourglass not done	done|flowing|hourglass|hours|not|sand|timer|waiting|yolo
◽	white medium-small square	geometric|medium-small|square|white
◾	black medium-small square	black|geometric|medium-small|square
☔	umbrella with rain drops	clothing|drop|drops|rain|umbrella|weather
☕	hot beverage	beverage|cafe|caffeine|chai|coffee|drink|hot|morning|steaming|tea
♈	Aries	Aries|horoscope|ram|zodiac
♉	Taurus	bull|horoscope|ox|Taurus|zodiac
♊	Gemini	Gemini|horoscope|twins|zodiac
♋	Cancer	Cancer|crab|horoscope|zodiac
♌	Leo	horoscope|Leo|lion|zodiac
♍	Virgo	horoscope|Virgo|zodiac
♎	Libra	balance|horoscope|justice|Libra|scales|zodiac
♏	Scorpio	horoscope|Scorpio|scorpion|Scorpius|zodiac
♐	Sagittarius	archer|horoscope|Sagittarius|zodiac
♑	Capricorn	Capricorn|goat|horoscope|zodiac
♒	Aquarius	Aquarius|bearer|horoscope|water|zodiac
♓	Pisces	fish|horoscope|Pisces|zodiac
♿	wheelchair symbol	access|handicap|symbol|wheelchair
⚓	anchor	anchor|ship|tool
⚡	high voltage	danger|electric|electricity|high|lightning|nature|thunder|thunderbolt|voltage|zap
⚪	white circle	circle|geometric|white
⚫	black circle	black|circle|geometric
⚽	soccer ball	ball|football|futbol|soccer|sport
⚾	baseball	ball|baseball|sport
⛄	snowman without snow	cold|man|snow|snowman
⛅	sun behind cloud	behind|cloud|cloudy|sun|weather
⛎	Ophiuchus	bearer|Ophiuchus|serpent|snake|zodiac
⛔	no entry	do|entry|fail|forbidden|no|not|pass|prohibited|traffic
⛪	church	bless|chapel|Christian|church|cross|religion
⛲	fountain	fountain
⛳	flag in hole	flag|golf|hole|sport
⛵	sailboat	boat|resort|sailboat|sailing|sea|yacht
⛺	tent	camping|tent
⛽	fuel pump	diesel|fuel|fuelpump|gas|gasoline|pump|station
✅	check mark button	✓|button|check|checked|checkmark|complete|completed|done|fixed|mark|tick
✊	raised fist	clenched|fist|hand|punch|raised|solidarity
✋	raised hand	5|five|hand|high|raised|stop
✨	sparkles	*|magic|sparkle|sparkles|star
❌	cross mark	×|cancel|cross|mark|multiplication|multiply|x
❎	cross mark button	×|button|cross|mark|multiplication|multiply|square|x
❓	red question mark	?|mark|punctuation|question|red
❔	white question mark	?|mark|outlined|punctuation|question|white
❕	white exclamation mark	!|exclamation|mark|outlined|punctuation|white
❗	red exclamation mark	!|exclamation|mark|punctuation|red
➕	plus	+|plus
➖	minus	-|−|heavy|math|minus|sign
➗	divide	÷|divide|division|heavy|math|sign
➰	curly loop	curl|curly|loop
➿	double curly loop	curl|curly|double|loop
⬛	black large square	black|geometric|large|square
⬜	white large square	geometric|large|square|white
⭐	star	astronomy|medium|star|stars|white
⭕	hollow red circle	circle|heavy|hollow|large|o|red
🀄	mahjong red dragon	dragon|game|mahjong|red
🃏	joker	card|game|joker|wildcard
🆎	AB button (blood type)	AB|blood|button|type
🆑	CL button	button|CL
🆒	COOL button	button|COOL
🆓	FREE button	button|FREE
🆔	ID button	button|ID|identity
🆕	NEW button	button|NEW
🆖	NG button	button|NG
🆗	OK button	button|OK|okay
🆘	SOS button	button|help|SOS
🆙	UP! button	button|mark|UP|UP!
🆚	VS button	button|versus|VS
🈁	Japanese “here” button	button|here|Japanese|katakana
🈚	Japanese “free of charge” button	button|charge|free|ideograph|Japanese
🈯	Japanese “reserved” button	button|ideograph|Japanese|reserved
🈲	Japanese “prohibited” button	button|ideograph|Japanese|prohibited
🈳	Japanese “vacancy” button	button|ideograph|Japanese|vacancy
🈴	Japanese “passing grade” button	button|grade|ideograph|Japanese|passing
🈵	Japanese “no vacancy” button	button|ideograph|Japanese|no|vacancy
🈶	Japanese “not free of charge” button	button|charge|free|ideograph|Japanese|not
🈸	Japanese “application” button	application|button|ideograph|Japanese
🈹	Japanese “discount” button	button|discount|ideograph|Japanese
🈺	Japanese “open for business” button	business|button|ideograph|Japanese|open
🉐	Japanese “bargain” button	bargain|button|ideograph|Japanese
🉑	Japanese “acceptable” button	acceptable|button|ideograph|Japanese
🌀	cyclone	cyclone|dizzy|hurricane|twister|typhoon|weather
🌁	foggy	fog|foggy
🌂	closed umbrella	closed|clothing|rain|umbrella
🌃	night with stars	night|star|stars
🌄	sunrise over mountains	morning|mountains|over|sun|sunrise
🌅	sunrise	morning|nature|sun|sunrise
🌆	cityscape at dusk	at|building|city|cityscape|dusk|evening|landscape|sun|sunset
🌇	sunset	building|dusk|sun|sunset
🌈	rainbow	gay|genderqueer|glbt|glbtq|lesbian|lgbt|lgbtq|lgbtqia|nature|pride|queer|rain|rainbow|trans|transgender|weather
🌉	bridge at night	at|bridge|night
🌊	water wave	nature|ocean|surf|surfer|surfing|water|wave
🌋	volcano	eruption|mountain|nature|volcano
🌌	milky way	milky|space|way
🌍	globe showing Europe-Africa	Africa|earth|Europe|Europe-Africa|globe|showing|world
🌎	globe showing Americas	Americas|earth|globe|showing|world
🌏	globe showing Asia-Australia	Asia|Asia-Australia|Australia|earth|globe|showing|world
🌐	globe with meridians	earth|globe|internet|meridians|web|world|worldwide
🌑	new moon	dark|moon|new|space
🌒	waxing crescent moon	crescent|dreams|moon|space|waxing
🌓	first quarter moon	first|moon|quarter|space
🌔	waxing gibbous moon	gibbous|moon|space|waxing
🌕	full moon	full|moon|space
🌖	waning gibbous moon	gibbous|moon|space|waning
🌗	last quarter moon	last|moon|quarter|space
🌘	waning crescent moon	crescent|moon|space|waning
🌙	crescent moon	crescent|moon|ramadan|space
🌚	new moon face	face|moon|new|space
🌛	first quarter moon face	face|first|moon|quarter|space
🌜	last quarter moon face	dreams|face|last|moon|quarter
🌝	full moon face	bright|face|full|moon
🌞	sun with face	beach|bright|day|face|heat|shine|sun|sunny|sunshine|weather
🌟	glowing star	glittery|glow|glowing|night|shining|sparkle|star|win
🌠	shooting star	falling|night|shooting|space|star
🌭	hot dog	dog|frankfurter|hot|hotdog|sausage
🌮	taco	mexican|taco
🌯	burrito	burrito|mexican|wrap
🌰	chestnut	almond|chestnut|plant
🌱	seedling	plant|sapling|seedling|sprout|young
🌲	evergreen tree	christmas|evergreen|forest|pine|tree
🌳	deciduous tree	deciduous|forest|green|habitat|shedding|tree
🌴	palm tree	beach|palm|plant|tree|tropical
🌵	cactus	cactus|desert|drought|nature|plant
🌷	tulip	blossom|flower|growth|plant|tulip
🌸	cherry blossom	blossom|cherry|flower|plant|spring|springtime
🌹	rose	beauty|elegant|flower|love|plant|red|rose|valentine
🌺	hibiscus	flower|hibiscus|plant
🌻	sunflower	flower|outdoors|plant|sun|sunflower
